Station,Date,Daily Rainfall Total (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),LAT,LONG
East Coast Parkway,2023-07-26,0,30.1,31.5,28.8,16.3,27.8,1.3134,103.9619
East Coast Parkway,2023-07-27,0,30.2,31.2,29.4,17.4,35.2,1.3134,103.9619
East Coast Parkway,2023-07-28,0,30.2,31.4,29.2,17.4,33.9,1.3134,103.9619
East Coast Parkway,2023-07-29,0,30,31.1,29.2,22.5,37.4,1.3134,103.9619
East Coast Parkway,2023-07-30,0.2,29.9,30.9,29.2,22.9,40.7,1.3134,103.9619
East Coast Parkway,2023-07-31,0,29.7,30.9,28.6,21.5,35,1.3134,103.9619
East Coast Parkway,2023-08-01,0,29.7,31.2,28.7,15.8,31.3,1.3134,103.9619
East Coast Parkway,2023-08-02,3.8,29.8,31.3,26.9,17.8,35.6,1.3134,103.9619
East Coast Parkway,2023-08-03,3.8,27.6,29.8,25,11.5,45,1.3134,103.9619
East Coast Parkway,2023-08-04,0.2,29.3,30.9,26.9,12.9,35.6,1.3134,103.9619
East Coast Parkway,2023-08-05,1.2,29.8,31.2,27.8,16.8,34.3,1.3134,103.9619
East Coast Parkway,2023-08-06,0,30,31.9,28.5,11.7,24.8,1.3134,103.9619
East Coast Parkway,2023-08-07,0,29.8,31.4,28.8,11.3,33.5,1.3134,103.9619
East Coast Parkway,2023-08-08,8.4,29,30.9,25.2,14.6,60.2,1.3134,103.9619
East Coast Parkway,2023-08-09,0,29.7,31.1,28.8,15.9,34.6,1.3134,103.9619
East Coast Parkway,2023-08-10,0,29.8,31.6,28.7,13.1,44.3,1.3134,103.9619
East Coast Parkway,2023-08-11,0,29.7,31.4,28.3,14.6,29.8,1.3134,103.9619
East Coast Parkway,2023-08-12,0,29.5,30.7,28.1,17.3,34.3,1.3134,103.9619
East Coast Parkway,2023-08-13,64.6,29.3,30.6,25.4,18.3,35.9,1.3134,103.9619
East Coast Parkway,2023-08-14,33.8,28,31.1,25,13.2,37,1.3134,103.9619
East Coast Parkway,2023-08-15,0,28.7,30,26.6,9.7,29.8,1.3134,103.9619
East Coast Parkway,2023-08-16,4.4,28.7,30.8,25,12.7,55,1.3134,103.9619
East Coast Parkway,2023-08-17,0,29.3,30.4,28.3,13.1,31.3,1.3134,103.9619
East Coast Parkway,2023-08-18,5.2,28.2,29.7,24.7,10.6,34.6,1.3134,103.9619
East Coast Parkway,2023-08-19,0,28.4,29.7,26.7,11.9,41.9,1.3134,103.9619
East Coast Parkway,2023-08-20,0,29.4,30.5,28.2,19.1,43.2,1.3134,103.9619
East Coast Parkway,2023-08-21,24.2,27.9,29.3,24.9,11.7,38.5,1.3134,103.9619
East Coast Parkway,2023-08-22,0,29.4,30.9,27,16.6,34.3,1.3134,103.9619
East Coast Parkway,2023-08-23,0,29.7,31.5,28.7,16.4,35.9,1.3134,103.9619
East Coast Parkway,2023-08-24,0,29.2,30.5,28.2,14.2,37.8,1.3134,103.9619
East Coast Parkway,2023-08-25,0,28.8,30.3,25.9,12.7,41.1,1.3134,103.9619
East Coast Parkway,2023-08-26,14.8,28.4,30.5,25,9.9,42.8,1.3134,103.9619
East Coast Parkway,2023-08-27,0,28.9,31,26.8,9.1,29.1,1.3134,103.9619
East Coast Parkway,2023-08-28,4.2,28.7,30.5,26.1,12.7,47.8,1.3134,103.9619
East Coast Parkway,2023-08-29,0.4,29.3,30.7,28.1,16.8,40,1.3134,103.9619
East Coast Parkway,2023-08-30,0.4,29,30.1,26.5,11.7,49.6,1.3134,103.9619
East Coast Parkway,2023-08-31,0,29.8,31.1,28.7,18.2,35,1.3134,103.9619
East Coast Parkway,2023-09-01,0.4,29.8,31.2,28.8,17.3,33.9,1.3134,103.9619
East Coast Parkway,2023-09-02,0,29.8,31.5,28.5,13.7,27.4,1.3134,103.9619
East Coast Parkway,2023-09-03,0,29.7,30.8,28.9,20.1,35,1.3134,103.9619
East Coast Parkway,2023-09-04,0,29.7,30.7,28.9,22.3,35.9,1.3134,103.9619
East Coast Parkway,2023-09-05,1.6,29.2,30.5,25.7,17.2,43.2,1.3134,103.9619
East Coast Parkway,2023-09-06,26.4,28.2,31.4,24.2,13.7,28.5,1.3134,103.9619
East Coast Parkway,2023-09-07,0,28.6,31.2,25.7,7.7,25.9,1.3134,103.9619
East Coast Parkway,2023-09-08,0,29.8,31.2,28.6,16.8,32.4,1.3134,103.9619
East Coast Parkway,2023-09-09,0.2,28.6,29.7,27,11.7,29.8,1.3134,103.9619
East Coast Parkway,2023-09-10,5,28,30.3,25.1,10.2,50.4,1.3134,103.9619
East Coast Parkway,2023-09-11,0,29.2,31.2,27.2,15,37.4,1.3134,103.9619
East Coast Parkway,2023-09-12,0.2,29.4,30.9,27.2,14.4,60.6,1.3134,103.9619
East Coast Parkway,2023-09-13,0.4,29.7,31.5,28,13.3,34.6,1.3134,103.9619
East Coast Parkway,2023-09-14,0,29.7,31,28.6,16.5,32.8,1.3134,103.9619
East Coast Parkway,2023-09-15,0,29.7,31.3,28.6,17.1,32,1.3134,103.9619
East Coast Parkway,2023-09-16,19.4,29.5,31.3,25.1,15.3,47.6,1.3134,103.9619
East Coast Parkway,2023-09-17,0,29.2,30.4,27,13.9,43.9,1.3134,103.9619
East Coast Parkway,2023-09-18,3,28.7,31,25.6,10.3,37.4,1.3134,103.9619
East Coast Parkway,2023-09-19,0,29.3,30.5,27.9,12.4,29.4,1.3134,103.9619
East Coast Parkway,2023-09-20,1.8,28.4,30.7,26.5,9.2,41.5,1.3134,103.9619
East Coast Parkway,2023-09-21,1.2,28.1,30.6,25.7,11.6,58,1.3134,103.9619
East Coast Parkway,2023-09-22,1.8,28.1,30.2,26.9,9,30.6,1.3134,103.9619
East Coast Parkway,2023-09-23,0,29.1,30.2,27.4,7.5,19.8,1.3134,103.9619
East Coast Parkway,2023-09-24,1.8,27.9,29.7,25.3,12,41.1,1.3134,103.9619
East Coast Parkway,2023-09-25,0,29,30.7,26.3,12.7,28.5,1.3134,103.9619
East Coast Parkway,2023-09-26,0,29.6,31.2,27.9,16.6,44.3,1.3134,103.9619
East Coast Parkway,2023-09-27,0,29.9,31.5,28.8,17.4,30.2,1.3134,103.9619
East Coast Parkway,2023-09-28,0,29.9,31.8,28.7,16,27.4,1.3134,103.9619
East Coast Parkway,2023-09-29,16.8,29.3,31.4,24.1,11,57.6,1.3134,103.9619
East Coast Parkway,2023-09-30,0.5,28.5,30.4,26.7,9.6,36.3,1.3134,103.9619
East Coast Parkway,2023-10-01,0,29,30.9,26.8,8.5,33.9,1.3134,103.9619
East Coast Parkway,2023-10-02,0,29.7,31.2,28.4,12.9,43.9,1.3134,103.9619
East Coast Parkway,2023-10-03,0.8,28.6,29.9,26.3,13.4,44.3,1.3134,103.9619
East Coast Parkway,2023-10-04,0,29.3,31,27.3,10.7,29.8,1.3134,103.9619
East Coast Parkway,2023-10-05,0,29.7,31.5,28.6,13.9,26.7,1.3134,103.9619
East Coast Parkway,2023-10-06,0,29.8,31.7,28.7,11.4,25.6,1.3134,103.9619
East Coast Parkway,2023-10-07,0,29.8,31.1,28.8,12.3,25.9,1.3134,103.9619
East Coast Parkway,2023-10-08,0,29.7,31,28.1,12.3,25.2,1.3134,103.9619
East Coast Parkway,2023-10-09,0,29.4,30.6,28.1,10,32,1.3134,103.9619
East Coast Parkway,2023-10-10,0,29.6,31.4,28.3,8.9,32.4,1.3134,103.9619
East Coast Parkway,2023-10-11,0,29.5,31,28.2,7.2,45.7,1.3134,103.9619
East Coast Parkway,2023-10-12,0,29.8,31.4,28.2,10.4,24.4,1.3134,103.9619
East Coast Parkway,2023-10-13,0,29.8,31.8,28,8.4,28.5,1.3134,103.9619
East Coast Parkway,2023-10-14,0,30.1,32.3,28.2,9.4,26.3,1.3134,103.9619
East Coast Parkway,2023-10-15,0,30.1,31.8,28.2,12.1,30.2,1.3134,103.9619
East Coast Parkway,2023-10-16,0,30.4,31.9,29.4,9.2,25.2,1.3134,103.9619
East Coast Parkway,2023-10-17,0,30.4,33,29.2,11.3,29.4,1.3134,103.9619
East Coast Parkway,2023-10-18,6.2,28.5,30.4,25.1,8.5,45.4,1.3134,103.9619
East Coast Parkway,2023-10-19,0,29,30.9,27,10,29.8,1.3134,103.9619
East Coast Parkway,2023-10-20,6.8,28.9,30.2,26.8,8.1,35.9,1.3134,103.9619
East Coast Parkway,2023-10-21,0,28.7,30.7,27.4,8.2,35.6,1.3134,103.9619
East Coast Parkway,2023-10-22,0.6,28.8,30.7,27,6,28.9,1.3134,103.9619
East Coast Parkway,2023-10-23,14.2,28.6,30.8,25.7,5.7,30.6,1.3134,103.9619
East Coast Parkway,2023-10-24,0,29,31.5,27,8.5,37.4,1.3134,103.9619
East Coast Parkway,2023-10-25,0,28.4,30.2,26.9,8.7,30.2,1.3134,103.9619
East Coast Parkway,2023-10-26,4,29.1,31.2,26.9,8.8,43.2,1.3134,103.9619
East Coast Parkway,2023-10-27,0,29.6,31.2,27.9,8.3,27.8,1.3134,103.9619
East Coast Parkway,2023-10-28,0.6,28.4,30.8,26.5,6.3,37,1.3134,103.9619
East Coast Parkway,2023-10-29,0,29.2,31.1,27.1,7.3,25.9,1.3134,103.9619
East Coast Parkway,2023-10-30,6.6,29,31.7,25.3,6.6,35,1.3134,103.9619
East Coast Parkway,2023-10-31,0,29.4,31.9,27.3,8.1,36.7,1.3134,103.9619
East Coast Parkway,2023-11-01,0,29.1,31.6,27.6,7.6,27.8,1.3134,103.9619
East Coast Parkway,2023-11-02,0,29.8,31.9,27.4,7,20.9,1.3134,103.9619
East Coast Parkway,2023-11-03,0,29.9,31.3,28.2,7.1,20.6,1.3134,103.9619
East Coast Parkway,2023-11-04,0,29.6,32.3,27.7,7.9,42.8,1.3134,103.9619
East Coast Parkway,2023-11-05,0,29.4,31.3,28.3,5.8,20.6,1.3134,103.9619
East Coast Parkway,2023-11-06,0,29.8,33.5,27.9,5.7,24.1,1.3134,103.9619
East Coast Parkway,2023-11-07,0,28.8,31.5,26.6,6.3,28.5,1.3134,103.9619
East Coast Parkway,2023-11-08,0,28.4,29.8,26.9,8,24.1,1.3134,103.9619
East Coast Parkway,2023-11-09,10.8,28.3,30.4,25.5,7.6,29.8,1.3134,103.9619
East Coast Parkway,2023-11-10,5.4,28.4,31.3,25.7,6.9,23.7,1.3134,103.9619
East Coast Parkway,2023-11-11,0,29.1,31.8,27,10.6,36.7,1.3134,103.9619
East Coast Parkway,2023-11-12,0.2,28.3,30.6,26.3,7.1,30.6,1.3134,103.9619
East Coast Parkway,2023-11-13,5.8,28.8,30.8,27,8.9,36.7,1.3134,103.9619
East Coast Parkway,2023-11-14,40,27.7,30.9,24.5,6.2,34.3,1.3134,103.9619
East Coast Parkway,2023-11-15,0,28.3,30.7,26.2,9.9,30.6,1.3134,103.9619
East Coast Parkway,2023-11-16,3.4,28.2,33.1,26.6,6.1,25.6,1.3134,103.9619
East Coast Parkway,2023-11-17,1,28.2,32.5,26.6,6.8,25.6,1.3134,103.9619
East Coast Parkway,2023-11-18,3,28.9,32.2,26.2,8.9,47.2,1.3134,103.9619
East Coast Parkway,2023-11-19,0,27.8,29,26.5,8.2,31.7,1.3134,103.9619
East Coast Parkway,2023-11-20,3.8,27.9,30.4,25.5,8.1,33.5,1.3134,103.9619
East Coast Parkway,2023-11-21,40.8,27.4,30.5,25,6.8,35.6,1.3134,103.9619
East Coast Parkway,2023-11-22,0.8,28,30.6,26.2,7.6,29.4,1.3134,103.9619
East Coast Parkway,2023-11-23,0,27.8,30.6,25.5,10.9,54.8,1.3134,103.9619
East Coast Parkway,2023-11-24,0.8,27.9,31.1,25.9,6.5,24.4,1.3134,103.9619
East Coast Parkway,2023-11-25,2.6,27.4,29.3,26.5,6.7,39.6,1.3134,103.9619
East Coast Parkway,2023-11-26,0.8,27.1,30.2,25.1,6.5,33.9,1.3134,103.9619
East Coast Parkway,2023-11-27,15.4,26.9,29.7,25.6,5.1,18,1.3134,103.9619
East Coast Parkway,2023-11-28,10.4,27.7,32,25.6,6.6,35.6,1.3134,103.9619
East Coast Parkway,2023-11-29,0,27.9,30.4,26.4,6.8,28.9,1.3134,103.9619
East Coast Parkway,2023-11-30,65.2,27.5,31.7,24.9,9.1,44.6,1.3134,103.9619
East Coast Parkway,2023-12-01,14.4,26.8,29.4,24.5,6.2,27,1.3134,103.9619
East Coast Parkway,2023-12-02,0,28,31.7,26.1,7.2,30.6,1.3134,103.9619
East Coast Parkway,2023-12-03,2.2,27,28,25.7,6.7,41.9,1.3134,103.9619
East Coast Parkway,2023-12-04,0,27.3,29,26.1,9.1,39.3,1.3134,103.9619
East Coast Parkway,2023-12-05,23.8,27.7,30.3,24.8,6.6,41.9,1.3134,103.9619
East Coast Parkway,2023-12-06,7.4,26.8,30.6,24.8,6,27.4,1.3134,103.9619
East Coast Parkway,2023-12-07,19,27.4,31.8,25,5.1,28.5,1.3134,103.9619
East Coast Parkway,2023-12-08,0,28.5,31.5,26.2,9.2,40.7,1.3134,103.9619
East Coast Parkway,2023-12-09,0,28.3,30.9,26.5,7.9,38.2,1.3134,103.9619
East Coast Parkway,2023-12-10,0,28.4,30.4,26.8,7.3,25.6,1.3134,103.9619
East Coast Parkway,2023-12-11,17,27.9,31.9,25.4,6.9,24.4,1.3134,103.9619
East Coast Parkway,2023-12-12,1.4,27,30.3,25.8,6,32.4,1.3134,103.9619
East Coast Parkway,2023-12-13,3.4,27.8,31.5,25.5,6.9,36.3,1.3134,103.9619
East Coast Parkway,2023-12-14,16,27.6,30.5,24.9,6.3,33.9,1.3134,103.9619
East Coast Parkway,2023-12-15,0,28.1,30.4,26.1,9.3,32.4,1.3134,103.9619
East Coast Parkway,2023-12-16,0,28.4,30.9,26.8,8.3,29.4,1.3134,103.9619
East Coast Parkway,2023-12-17,0,28.2,31.1,26.4,12,42.8,1.3134,103.9619
East Coast Parkway,2023-12-18,0,28.5,31.3,26.3,10,38.5,1.3134,103.9619
East Coast Parkway,2023-12-19,4.6,27.6,31,25.6,7.7,33.5,1.3134,103.9619
East Coast Parkway,2023-12-20,3.2,28,31.7,26.4,8.7,42.8,1.3134,103.9619
East Coast Parkway,2023-12-21,3.2,27.5,31.2,25.8,10.2,35.6,1.3134,103.9619
East Coast Parkway,2023-12-22,7,27.7,30.9,25.6,13.9,45.7,1.3134,103.9619
East Coast Parkway,2023-12-23,5.6,26.5,27.7,25.2,6.7,27,1.3134,103.9619
East Coast Parkway,2023-12-24,0.2,27.7,30.2,25.7,7.2,23.3,1.3134,103.9619
East Coast Parkway,2023-12-25,72,27,30.2,23.3,7.7,35,1.3134,103.9619
East Coast Parkway,2023-12-26,0,27.3,30.2,25.9,9.3,49.6,1.3134,103.9619
East Coast Parkway,2023-12-27,10.8,26.7,28.5,25,7.6,32.4,1.3134,103.9619
East Coast Parkway,2023-12-28,25.8,27.3,29.9,25.4,7.4,28.2,1.3134,103.9619
East Coast Parkway,2023-12-29,10,27.7,30.5,25.2,9.9,36.7,1.3134,103.9619
East Coast Parkway,2023-12-30,0.4,28.4,30.8,26.8,9.7,38.9,1.3134,103.9619
East Coast Parkway,2023-12-31,13.6,26.7,28,25.1,6.8,33.2,1.3134,103.9619
Jurong (West),2021-01-01,41,23.5,24.9,22,7.5,46.9,1.3455,103.6806
Jurong (West),2021-01-02,98,22.7,23.9,21.6,7.7,35.9,1.3455,103.6806
Jurong (West),2021-01-03,1.8,23.4,25.5,22.3,5.6,17.2,1.3455,103.6806
Jurong (West),2021-01-04,0.2,24.7,28.4,22.3,5.6,19.8,1.3455,103.6806
Jurong (West),2021-01-05,0.2,26.4,31.2,23.6,7.5,30.9,1.3455,103.6806
Jurong (West),2021-01-06,0,26.3,29.8,24.3,7.5,32.8,1.3455,103.6806
Jurong (West),2021-01-07,0.2,24.1,25.2,23.3,6.6,24.1,1.3455,103.6806
Jurong (West),2021-01-08,0,25.5,28.1,23.6,7.6,29.4,1.3455,103.6806
Jurong (West),2021-01-09,28,24.7,28.9,23.5,6.9,32.8,1.3455,103.6806
Jurong (West),2021-01-10,63,23.5,24,23.2,8.6,26.7,1.3455,103.6806
Jurong (West),2021-01-11,2.8,24.6,28,23.3,8.9,37,1.3455,103.6806
Jurong (West),2021-01-12,7,24.3,27.6,22.9,10,40.7,1.3455,103.6806
Jurong (West),2021-01-13,4.6,24.2,27,22.9,7.5,34.6,1.3455,103.6806
Jurong (West),2021-01-14,0,25.4,28.8,22.8,8.7,32,1.3455,103.6806
Jurong (West),2021-01-15,0,26.5,31.3,23.8,8.2,30.2,1.3455,103.6806
Jurong (West),2021-01-16,0,26.8,30.6,24.3,8.1,30.9,1.3455,103.6806
Jurong (West),2021-01-17,0,26.9,31.3,24.2,12.9,37.4,1.3455,103.6806
Jurong (West),2021-01-18,0,26,28.7,24,13.4,48.9,1.3455,103.6806
Jurong (West),2021-01-19,0,26,29.8,23.3,9.1,30.2,1.3455,103.6806
Jurong (West),2021-01-20,0,26.1,30.5,23.3,8.8,31.3,1.3455,103.6806
Jurong (West),2021-01-21,7.8,25.9,32.1,23.5,7.4,30.2,1.3455,103.6806
Jurong (West),2021-01-22,1,26,31.4,23.2,6.6,22.4,1.3455,103.6806
Jurong (West),2021-01-23,8.8,25.7,31.1,23.5,7.5,28.2,1.3455,103.6806
Jurong (West),2021-01-24,22.2,25.6,32.1,22.7,7.9,27,1.3455,103.6806
Jurong (West),2021-01-25,3.8,26.6,32.6,24.1,6.7,25.6,1.3455,103.6806
Jurong (West),2021-01-26,0,26.7,32.1,23.7,6.5,24.1,1.3455,103.6806
Jurong (West),2021-01-27,0.4,26.2,30.8,23.5,7,20.9,1.3455,103.6806
Jurong (West),2021-01-28,1.2,25.7,30,23.8,8.7,41.9,1.3455,103.6806
Jurong (West),2021-01-29,0,26.5,31.6,23.3,10.3,32.4,1.3455,103.6806
Jurong (West),2021-01-30,0,26.4,30.9,23.6,10.2,37.8,1.3455,103.6806
Jurong (West),2021-01-31,0,26.4,29.6,24.1,8.7,30.9,1.3455,103.6806
Jurong (West),2021-02-01,0,26.4,30.3,23.8,9.8,28.5,1.3455,103.6806
Jurong (West),2021-02-02,0,26.7,30.6,24.3,11,36.3,1.3455,103.6806
Jurong (West),2021-02-03,0,26.7,30.9,24,9.2,32.4,1.3455,103.6806
Jurong (West),2021-02-04,0,26.5,31.8,23.8,11.9,41.1,1.3455,103.6806
Jurong (West),2021-02-05,0,26.7,32.4,23.1,9.7,34.6,1.3455,103.6806
Jurong (West),2021-02-06,0,27.4,31.7,24.8,11.1,35.2,1.3455,103.6806
Jurong (West),2021-02-07,0,27.6,33.5,23.8,10.1,33.2,1.3455,103.6806
Jurong (West),2021-02-08,0.2,27.1,32.3,24.3,11.1,34.6,1.3455,103.6806
Jurong (West),2021-02-09,0,27.3,32.6,24.1,7.5,32,1.3455,103.6806
Jurong (West),2021-02-10,8.6,26.8,32.1,24.5,7.5,22.6,1.3455,103.6806
Jurong (West),2021-02-11,16.4,26.6,32.3,23.9,7.8,24.1,1.3455,103.6806
Jurong (West),2021-02-12,1.6,26.8,31.7,24.6,8.8,49.6,1.3455,103.6806
Jurong (West),2021-02-13,22.2,26.4,31.7,24.1,8,33.2,1.3455,103.6806
Jurong (West),2021-02-14,14.2,26.4,30.8,24.6,9.1,30.2,1.3455,103.6806
Jurong (West),2021-02-15,0,26.5,31.3,24,9.6,35.6,1.3455,103.6806
Jurong (West),2021-02-16,0,26.6,31.8,23.8,9,29.4,1.3455,103.6806
Jurong (West),2021-02-17,0,26.8,31.7,23.5,9.6,32,1.3455,103.6806
Jurong (West),2021-02-18,0,26.5,32.3,22.6,11.9,39.3,1.3455,103.6806
Jurong (West),2021-02-19,0,26.5,30.5,24,11.5,35,1.3455,103.6806
Jurong (West),2021-02-20,0,26.4,30.3,23.8,11.5,37,1.3455,103.6806
Jurong (West),2021-02-21,0,26.6,31.1,24.1,10.1,31.7,1.3455,103.6806
Jurong (West),2021-02-22,0,27,32.7,23.9,9.4,30.6,1.3455,103.6806
Jurong (West),2021-02-23,0,26.9,33.5,23,8.8,30.9,1.3455,103.6806
Jurong (West),2021-02-24,6.6,26.3,30.8,23.6,7.6,26.7,1.3455,103.6806
Jurong (West),2021-02-25,0,27.3,32.5,23.5,8.5,25.9,1.3455,103.6806
Jurong (West),2021-02-26,0,27.7,32.7,24.4,7.9,33.2,1.3455,103.6806
Jurong (West),2021-02-27,0,28.5,33.4,25.3,6.8,31.7,1.3455,103.6806
Jurong (West),2021-02-28,0,28.1,33.8,25.2,7,28.5,1.3455,103.6806
Jurong (West),2021-03-01,0,27.9,33.1,25,7.2,24.1,1.3455,103.6806
Jurong (West),2021-03-02,0,27.9,34,24.5,8.3,33.2,1.3455,103.6806
Jurong (West),2021-03-03,0,28,33.8,25,7.3,27,1.3455,103.6806
Jurong (West),2021-03-04,0,28.2,33.6,24.8,9.2,33.9,1.3455,103.6806
Jurong (West),2021-03-05,0,28.5,33.5,25.9,8.3,30.2,1.3455,103.6806
Jurong (West),2021-03-06,0,27.8,33,25.4,8.6,27.4,1.3455,103.6806
Jurong (West),2021-03-07,28,25.6,31.3,23.5,7.2,50.7,1.3455,103.6806
Jurong (West),2021-03-08,0,27,33.5,23.2,6.4,25.2,1.3455,103.6806
Jurong (West),2021-03-09,0,27.5,33.7,24.2,8.6,33.5,1.3455,103.6806
Jurong (West),2021-03-10,0,27.6,33.6,23.6,9.4,37.8,1.3455,103.6806
Jurong (West),2021-03-11,0,27.5,32.8,24.3,9,28.2,1.3455,103.6806
Jurong (West),2021-03-12,7.6,25.7,29.4,23.1,6,36.3,1.3455,103.6806
Jurong (West),2021-03-13,14.4,25.8,31.6,23.4,6.2,24.1,1.3455,103.6806
Jurong (West),2021-03-14,3.2,26.7,32.6,24.4,6.1,24.1,1.3455,103.6806
Jurong (West),2021-03-15,18.4,27,32.4,22.8,7.3,27.8,1.3455,103.6806
Jurong (West),2021-03-16,6.8,27,32.8,24.6,6.6,29.1,1.3455,103.6806
Jurong (West),2021-03-17,3.8,26.4,32.1,24.4,5.6,32,1.3455,103.6806
Jurong (West),2021-03-18,52.8,26.2,32.9,22.9,6.5,33.5,1.3455,103.6806
Jurong (West),2021-03-19,0,27.9,33.2,24.9,6.1,27,1.3455,103.6806
Jurong (West),2021-03-20,3.2,27.4,33.2,25.4,5.5,23.3,1.3455,103.6806
Jurong (West),2021-03-21,5.6,27.2,34.7,24.2,6.1,25.9,1.3455,103.6806
Jurong (West),2021-03-22,0.4,27.6,33.8,25,7.3,35.9,1.3455,103.6806
Jurong (West),2021-03-23,99.2,25.9,32.2,23.2,6.1,38.9,1.3455,103.6806
Jurong (West),2021-03-24,28.8,25,31.3,23.8,5.7,34.6,1.3455,103.6806
Jurong (West),2021-03-25,0,25.8,28.5,23.6,6.1,26.7,1.3455,103.6806
Jurong (West),2021-03-26,0,27.8,33.2,25.2,5.7,24.4,1.3455,103.6806
Jurong (West),2021-03-27,12,26,30.4,22.9,5.6,38.5,1.3455,103.6806
Jurong (West),2021-03-28,0,27.4,31.4,24.1,4.8,26.3,1.3455,103.6806
Jurong (West),2021-03-29,9.8,26.2,30.8,23.8,4.9,23.3,1.3455,103.6806
Jurong (West),2021-03-30,0,28,33.8,24.7,6.3,28.9,1.3455,103.6806
Jurong (West),2021-03-31,34.6,27.9,31.8,23,9.9,42.4,1.3455,103.6806
Jurong (West),2021-04-01,0,29.1,32.3,26.7,11.8,41.1,1.3455,103.6806
Jurong (West),2021-04-02,0,29.1,35.1,26.3,6.4,30.2,1.3455,103.6806
Jurong (West),2021-04-03,96,27.3,33,23.3,5.4,30.6,1.3455,103.6806
Jurong (West),2021-04-04,55,27.1,32.8,22.5,6.3,28.5,1.3455,103.6806
Jurong (West),2021-04-05,26.4,26.3,31.8,22.1,5.5,46.1,1.3455,103.6806
Jurong (West),2021-04-06,8.4,27.1,33.4,23.9,5.6,30.2,1.3455,103.6806
Jurong (West),2021-04-07,0.4,27.8,34.2,23.6,6.2,41.9,1.3455,103.6806
Jurong (West),2021-04-08,0.4,27.6,33.7,25,5.6,32,1.3455,103.6806
Jurong (West),2021-04-09,0,27.4,32.5,23.8,6.1,41.1,1.3455,103.6806
Jurong (West),2021-04-10,0,28.5,33.9,24.7,5.4,27,1.3455,103.6806
Jurong (West),2021-04-11,0,28.9,33.6,25.5,6.1,23.7,1.3455,103.6806
Jurong (West),2021-04-12,14.4,28.5,33.6,22.7,6.6,30.9,1.3455,103.6806
Jurong (West),2021-04-13,0.2,28,32.4,25.8,5.5,24.8,1.3455,103.6806
Jurong (West),2021-04-14,0,28.1,32.7,25.2,6.4,34.6,1.3455,103.6806
Jurong (West),2021-04-15,0.2,26.7,33.5,24,5.2,27.4,1.3455,103.6806
Jurong (West),2021-04-16,0.4,27.3,30.9,24.4,4.3,20.6,1.3455,103.6806
Jurong (West),2021-04-17,121,25.1,30.2,21.9,5.1,38.5,1.3455,103.6806
Jurong (West),2021-04-18,0.2,27,33.7,23.6,5.4,30.6,1.3455,103.6806
Jurong (West),2021-04-19,0,27,29.7,25.3,5.9,28.5,1.3455,103.6806
Jurong (West),2021-04-20,1,28.4,33,24.7,6.2,23.3,1.3455,103.6806
Jurong (West),2021-04-21,21,28.4,33.1,25,6.3,23.7,1.3455,103.6806
Jurong (West),2021-04-22,2.2,26.5,29.2,24.3,6.6,24.4,1.3455,103.6806
Jurong (West),2021-04-23,0.8,27.4,30.7,23.1,7.6,29.8,1.3455,103.6806
Jurong (West),2021-04-24,8.6,26,28.9,23.5,6.4,44.6,1.3455,103.6806
Jurong (West),2021-04-25,0,28.8,33.8,25,5.2,21.3,1.3455,103.6806
Jurong (West),2021-04-26,30.8,26.6,32.8,23.4,4.8,29.4,1.3455,103.6806
Jurong (West),2021-04-27,2.4,26.8,32.8,24.7,4.9,19.8,1.3455,103.6806
Jurong (West),2021-04-28,2.2,27.6,31.3,25,5.6,25.6,1.3455,103.6806
Jurong (West),2021-04-29,0.2,27.9,35.1,25.5,5.7,30.9,1.3455,103.6806
Jurong (West),2021-04-30,8.6,27,32,25.1,5.3,27.4,1.3455,103.6806
Jurong (West),2021-05-01,23,27.5,33,24.6,5.8,23,1.3455,103.6806
Jurong (West),2021-05-02,0,29,33.7,25.5,7,26.7,1.3455,103.6806
Jurong (West),2021-05-03,0,28.6,33.3,25.8,5.4,28.5,1.3455,103.6806
Jurong (West),2021-05-04,18.4,27.5,33.6,23.4,5.1,30.9,1.3455,103.6806
Jurong (West),2021-05-05,29,26.4,33.5,23.1,5.5,33.5,1.3455,103.6806
Jurong (West),2021-05-06,3.4,26.8,30.2,25,4.1,16.9,1.3455,103.6806
Jurong (West),2021-05-07,16.4,27.4,32.6,24.1,5,28.5,1.3455,103.6806
Jurong (West),2021-05-08,15.6,27.2,31.5,24.6,4.8,28.2,1.3455,103.6806
Jurong (West),2021-05-09,0,27.8,33.3,25.4,5.1,22.6,1.3455,103.6806
Jurong (West),2021-05-10,0,29.2,33.8,26.2,6.1,23.7,1.3455,103.6806
Jurong (West),2021-05-11,1.4,29.4,34.9,26.1,6.4,28.5,1.3455,103.6806
Jurong (West),2021-05-12,70.8,26.9,30.7,25,5.2,27.4,1.3455,103.6806
Jurong (West),2021-05-13,3.6,28.6,33.3,25.5,6.2,23.7,1.3455,103.6806
Jurong (West),2021-05-14,4.2,28,31.6,24.8,5.4,31.3,1.3455,103.6806
Jurong (West),2021-05-15,8.2,27.5,31.7,24.3,6.2,31.3,1.3455,103.6806
Jurong (West),2021-05-16,3.4,29.2,32.9,26.1,4.6,21.7,1.3455,103.6806
Jurong (West),2021-05-17,88.6,27,30.2,23.2,5.5,34.6,1.3455,103.6806
